p_x,p_y,p_z,dp_x,dp_y,dp_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z
-0.14492,1.48954,-0.993655,-0.323619,-0.030808,0.0657331,0.704654,-0.00822707,0.000795437,0.709503,-0.0120644,-0.1088,0.0227435
-0.148246,1.48917,-0.993066,-0.324431,-0.031627,0.0648136,0.704613,-0.00805857,0.000585507,0.709546,-0.0123448,-0.105997,0.0230173
-0.148246,1.48917,-0.993066,-0.324431,-0.031627,0.0648136,0.704572,-0.00789205,0.000378143,0.709589,-0.0118784,-0.105726,0.0233418
-0.151572,1.48878,-0.992489,-0.325878,-0.0325247,0.0640049,0.70453,-0.00772881,0.000174064,0.709632,-0.0121755,-0.102816,0.0236183
-0.151572,1.48878,-0.992489,-0.325878,-0.0325247,0.0640049,0.704487,-0.00756685,-2.80364e-05,0.709676,-0.0116458,-0.103225,0.0239458
-0.154898,1.48839,-0.991924,-0.327015,-0.0334099,0.0631174,0.704444,-0.00740707,-0.000227821,0.709721,-0.0119327,-0.100832,0.0242248
-0.154898,1.48839,-0.991924,-0.327015,-0.0334099,0.0631174,0.704401,-0.00724813,-0.000426072,0.709766,-0.0114143,-0.101312,0.0245552
-0.158223,1.48799,-0.991371,-0.327452,-0.0342752,0.0620879,0.704356,-0.00709123,-0.000622168,0.709811,-0.0116993,-0.0990174,0.0248368
-0.158223,1.48799,-0.991371,-0.327452,-0.0342752,0.0620879,0.704312,-0.00693577,-0.00081614,0.709857,-0.0111811,-0.0988742,0.0251697
-0.161546,1.48757,-0.990831,-0.328219,-0.0351738,0.061107,0.704266,-0.00678316,-0.00100715,0.709903,-0.011468,-0.0962321,0.0254533
-0.161546,1.48757,-0.990831,-0.328219,-0.0351738,0.061107,0.70422,-0.00663202,-0.00119599,0.70995,-0.0109414,-0.096278,0.0257884
-0.164866,1.48715,-0.990304,-0.328701,-0.036055,0.0600459,0.704174,-0.0064834,-0.00138222,0.709997,-0.0112419,-0.0938298,0.026074
-0.164866,1.48715,-0.990304,-0.328701,-0.036055,0.0600459,0.704126,-0.00633627,-0.00156632,0.710045,-0.0107392,-0.0937658,0.0264118
-0.168182,1.48672,-0.989789,-0.329084,-0.0369693,0.0589674,0.704079,-0.00619179,-0.00174777,0.710093,-0.0110602,-0.0913115,0.0266996
-0.168182,1.48672,-0.989789,-0.329084,-0.0369693,0.0589674,0.70403,-0.00604885,-0.00192705,0.710141,-0.0105445,-0.0912035,0.0270398
-0.171493,1.48628,-0.989288,-0.329298,-0.0378728,0.0578463,0.703982,-0.00590854,-0.00210368,0.710191,-0.010869,-0.0887883,0.0273298
